"","variable","ols_coefficient","lasso_coefficient"
"1","(Intercept)",-48.6991197810843,89.9660061806947
"2","d_24hourcheckin",1.77532275532601,0.241377222241626
"3","d_airconditioning",15.6358284383729,2.60967492142338
"4","d_breakfast",-0.439240596174444,NA
"5","d_buzzerwirelessintercom",3.19620350445288,1.12268342518239
"6","d_cabletv",3.9849278463953,1.29184919247752
"7","d_carbonmonoxidedetector",0.737915669328701,NA
"8","d_cats",-9.73149725691869,-0.658004752213051
"9","d_dogs",-2.97602759854878,NA
"10","d_doorman",1.88596992145264,0.388224605418414
"11","d_doormanentry",-21.027510387864,-1.05064157661001
"12","d_dryer",7.41730043920248,3.40649986275414
"13","d_elevatorinbuilding",7.21829875828499,3.28873701377093
"14","d_essentials",-5.70889282031852,-1.97192592339308
"15","d_familykidfriendly",0.775122685010647,0.375075050231474
"16","d_fireextinguisher",3.64221310953463,1.46827846208744
"17","d_firstaidkit",0.0226892024006991,NA
"18","d_freeparkingonpremises",-3.41160542074449,-1.01559089256354
"19","d_freeparkingonstreet",11.843121545608,0.170534001710303
"20","d_gym",2.77552894773488,0.425088953242391
"21","d_hairdryer",-1.56296167511555,-0.182679496242726
"22","d_hangers",-0.503595673465865,-8.12777508391585e-05
"23","d_heating",-6.35275118597472,-1.20005865673843
"24","d_hottub",-4.00129544722297,-0.832330362000247
"25","d_indoorfireplace",7.84390346149873,1.72664339331547
"26","d_internet",-1.13583591453155,-0.133808511546688
"27","d_iron",5.04647532730658,1.61344826519623
"28","d_keypad",-2.78547789938932,NA
"29","d_kitchen",-9.47587230053549,-2.2118839755754
"30","d_laptopfriendlyworkspace",-0.721443997715976,-0.071192286497903
"31","d_lockbox",-0.575338164179062,NA
"32","d_lockonbedroomdoor",-7.44137934005847,-1.88218939967595
"33","d_otherpets",0.409179734598661,NA
"34","d_paidparkingoffpremises",-12.3876940692629,NA
"35","d_petsallowed",1.43904888241729,0.0420336616855003
"36","d_petsliveonthisproperty",1.9868743887977,NA
"37","d_pool",99.0886640493907,5.55350512226224
"38","d_privateentrance",-4.76807828175589,-0.796474932389408
"39","d_privatelivingroom",-4.06662443642369,-0.20955296955714
"40","d_safetycard",3.33710238871053,0.960993905259841
"41","d_selfcheckin",-13.9027594311916,-2.52524507347089
"42","d_shampoo",1.95361029371913,0.778253839229654
"43","d_smartlock",-6.44083929012503,NA
"44","d_smokedetector",-6.47566727162006,-2.50089747916979
"45","d_smokingallowed",-4.86657271953654,-1.38871304353048
"46","d_suitableforevents",-5.91571415852319,-0.548659350223097
"47","d_tv",6.84545527824798,3.24913461377442
"48","d_washer",-1.82895038069194,-0.190800773445821
"49","d_washerdryer",137.986194135789,2.43540855797938
"50","d_wheelchairaccessible",3.52590107773133,0.922223932264203
"51","d_wirelessinternet",-3.10720150861042,-0.403404013874079
"52","f_bathroom",27.9240918273872,10.085217385076
"53","f_bed_typeReal Bed",7.06934788196603,1.10960554284075
"54","f_cancellation_policymoderate",0.174901187721214,NA
"55","f_cancellation_policystrict",6.41252955037471,2.87058142061981
"56","f_neighbourhood_cleansedCamden",17.5826964861972,NA
"57","f_property_typeHouse",2.09983079593247,-3.9340685416858
"58","f_property_typeHouse:d_airconditioning",NA,0.855235251774664
"59","f_property_typeHouse:d_cats",NA,-0.970736926066523
"60","f_property_typeHouse:f_neighbourhood_cleansedCamden",NA,3.07770783698569
"61","f_property_typeHouse:f_room_typePrivate room",NA,-2.04498990135358
"62","f_property_typeHouse:f_room_typeShared room",NA,-0.255501569235014
"63","f_room_typePrivate room",-35.6283826527077,-17.5512812788059
"64","f_room_typePrivate room:f_neighbourhood_cleansedCamden",NA,-0.959535784249797
"65","f_room_typeShared room",-46.2167330457716,-2.57826955099101
"66","f_room_typeShared room:f_neighbourhood_cleansedCamden",NA,-1.83029304739357
"67","flag_n_number_of_reviews",15.2780175970432,5.55315168442917
"68","flag_review_scores_rating",-2.15602432943624,NA
"69","n_accommodates",13.3823018759037,14.309516815986
"70","n_accommodates:f_neighbourhood_cleansedCamden",NA,10.8302087173635
"71","n_accommodates:f_property_typeHouse",NA,6.23671114739044
"72","n_beds",3.2239654147337,2.03486195736543
"73","n_days_since",0.0044216990833565,1.12920068161598
"74","n_number_of_reviews",-0.0715367985986197,-1.3186678818279
"75","n_review_scores_rating",0.48458140034944,3.38400635473385
