"usd_cleaning_fee","f_property_type","f_room_type","f_room_type2","f_cancellation_policy","f_bed_type","f_neighbourhood_cleansed","usd_price_day","p_host_response_rate","n_accommodates","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_guests_included","n_reviews_per_month","n_extra_people","n_minimum_nights","n_beds","n_days_since","d_24hourcheckin","d_airconditioning","d_breakfast","d_buzzerwirelessintercom","d_cabletv","d_carbonmonoxidedetector","d_cats","d_dogs","d_doorman","d_doormanentry","d_dryer","d_elevatorinbuilding","d_essentials","d_familykidfriendly","d_fireextinguisher","d_firstaidkit","d_freeparkingonpremises","d_freeparkingonstreet","d_gym","d_hairdryer","d_hangers","d_heating","d_hottub","d_indoorfireplace","d_internet","d_iron","d_keypad","d_kitchen","d_laptopfriendlyworkspace","d_lockonbedroomdoor","d_lockbox","d_otherpets","d_paidparkingoffpremises","d_petsallowed","d_petsliveonthisproperty","d_pool","d_privateentrance","d_privatelivingroom","d_safetycard","d_selfcheckin","d_shampoo","d_smartlock","d_smokedetector","d_smokingallowed","d_suitableforevents","d_tv","d_washer","d_washerdryer","d_wheelchairaccessible","d_wirelessinternet","price","neighbourhood_cleansed","cancellation_policy","room_type","property_type","ln_price","n_accommodates2","ln_accommodates","ln_accommodates2","ln_beds","f_bathroom","ln_number_of_reviews","f_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","n_days_since2","n_days_since3","ln_review_scores_rating","f_minimum_nights"
NA,"Apartment","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",85,100,4,1,86,15,2,0.78,20,2,2,574,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,85,"Hackney","flexible","Entire home/apt","Apartment",4.44265125649032,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.77258872223978,1,6.35262939631957,40.3559002469835,256.366078223927,329476,189119224,4.45434729625351,2
65,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",75,100,4,1,100,3,2,1.43,15,2,2,62,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,75,"Hackney","moderate","Entire home/apt","Apartment",4.31748811353631,16,1.38629436111989,1.92181205567281,0.693147180559945,1,1.38629436111989,1,4.12713438504509,17.0332382322215,70.2984631968661,3844,238328,4.60517018598809,2
30,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",90,50,4,1,94,25,1,0.74,0,2,2,1010,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,90,"Hackney","moderate","Entire home/apt","Apartment",4.49980967033027,16,1.38629436111989,1.92181205567281,0.693147180559945,1,3.25809653802148,1,6.9177056098353,47.8546509043468,331.04438701771,1020100,1030301000,4.54329478227,2
5,"House","Private room","Private","flexible","Real Bed","Hackney",20,NA,1,2,93,13,1,0.74,0,3,1,527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,20,"Hackney","flexible","Private room","House",2.99573227355399,1,0,0,0,2,2.63905732961526,1,6.26720054854136,39.2778027156372,246.161866724941,277729,146363183,4.53259949315326,3
20,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",99,100,4,1,94,57,2,1.74,10,1,2,978,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,99,"Hackney","strict","Entire home/apt","House",4.59511985013459,16,1.38629436111989,1.92181205567281,0.693147180559945,1,4.06044301054642,2,6.88550967003482,47.410243416143,326.443689500557,956484,935441352,4.54329478227,1
NA,"House","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",75,NA,6,2.5,100,2,1,0.29,0,7,5,208,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,75,"Hackney","flexible","Entire home/apt","House",4.31748811353631,36,1.79175946922805,3.2104019955684,1.6094379124341,2,1.09861228866811,1,5.33753807970132,28.4893127522616,152.062791679717,43264,8998912,4.60517018598809,3
NA,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",130,100,4,1,93,39,1,1.98,0,2,2,590,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,130,"Hackney","moderate","Entire home/apt","Apartment",4.86753445045558,16,1.38629436111989,1.92181205567281,0.693147180559945,1,3.68887945411394,1,6.38012253689976,40.7059635858563,259.709035660343,348100,205379000,4.53259949315326,2
50,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",145,100,5,1,100,11,4,0.34,0,5,3,966,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,145,"Hackney","strict","Entire home/apt","House",4.97673374242057,25,1.6094379124341,2.59029039398023,1.09861228866811,1,2.484906649788,1,6.87316383421252,47.2403810919269,324.690878835449,933156,901428696,4.60517018598809,3
50,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",90,100,4,1,89,9,2,0.54,5,5,2,501,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,90,"Hackney","strict","Entire home/apt","Apartment",4.49980967033027,16,1.38629436111989,1.92181205567281,0.693147180559945,1,2.30258509299405,1,6.21660610108486,38.6461914160456,240.248149340682,251001,125751501,4.48863636973214,3
50,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",69,60,2,1,94,21,1,0.41,0,1,1,1523,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,69,"Hackney","moderate","Entire home/apt","Apartment",4.23410650459726,4,0.693147180559945,0.480453013918201,0,1,3.09104245335832,1,7.32843735289516,53.705994035309,393.581012762724,2319529,3532642667,4.54329478227,1
30,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",65,0,2,1,93,6,1,0.3,0,2,1,608,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,"Hackney","moderate","Entire home/apt","Apartment",4.17438726989564,4,0.693147180559945,0.480453013918201,0,1,1.94591014905531,1,6.41017488196617,41.09034201739,263.396278291272,369664,224755712,4.53259949315326,2
35,"Apartment","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",65,83,2,1,100,2,1,0.47,0,1,1,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,65,"Hackney","flexible","Entire home/apt","Apartment",4.17438726989564,4,0.693147180559945,0.480453013918201,0,1,1.09861228866811,1,4.83628190695148,23.3896226835062,113.118808994663,15876,2000376,4.60517018598809,1
NA,"Apartment","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",50,50,2,1,100,1,1,0.06,0,1,1,494,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,50,"Hackney","flexible","Entire home/apt","Apartment",3.91202300542815,4,0.693147180559945,0.480453013918201,0,1,0.693147180559945,1,6.20253551718792,38.4714468419777,238.620515434974,244036,120553784,4.60517018598809,1
NA,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",100,NA,4,1,90,2,1,0.3,0,2,3,201,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,100,"Hackney","strict","Entire home/apt","Apartment",4.60517018598809,16,1.38629436111989,1.92181205567281,1.09861228866811,1,1.09861228866811,1,5.30330490805908,28.1250429478435,149.155678304671,40401,8120601,4.49980967033027,2
25,"Apartment","Private room","Private","strict","Real Bed","Hackney",40,100,2,1,96,88,1,2.87,0,3,1,919,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,40,"Hackney","strict","Private room","Apartment",3.68887945411394,4,0.693147180559945,0.480453013918201,0,1,4.48863636973214,2,6.82328612235569,46.5572335075317,317.673325287214,844561,776151559,4.56434819146784,3
60,"House","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",170,100,6,3,97,18,4,0.86,0,5,3,627,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,170,"Hackney","strict","Entire home/apt","House",5.13579843705026,36,1.79175946922805,3.2104019955684,1.09861228866811,2,2.94443897916644,1,6.44094654063292,41.4857923392912,267.207770653173,393129,246491883,4.57471097850338,3
NA,"Apartment","Entire home/apt","Entire/Apt","flexible","Real Bed","Hackney",200,100,4,1,100,2,2,1.36,20,1,2,42,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,"Hackney","flexible","Entire home/apt","Apartment",5.29831736654804,16,1.38629436111989,1.92181205567281,0.693147180559945,1,1.09861228866811,1,3.73766961828337,13.9701741754385,52.2158955776635,1764,74088,4.60517018598809,1
35,"Apartment","Entire home/apt","Entire/Apt","moderate","Real Bed","Hackney",125,100,4,1,96,60,2,1.07,25,3,2,1688,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,125,"Hackney","moderate","Entire home/apt","Apartment",4.8283137373023,16,1.38629436111989,1.92181205567281,0.693147180559945,1,4.11087386417331,2,7.4312996751559,55.2242148619722,410.387689964514,2849344,4809692672,4.56434819146784,3
40,"Apartment","Entire home/apt","Entire/Apt","strict","Real Bed","Hackney",110,100,4,1,100,5,1,0.49,0,3,2,305,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,110,"Hackney","strict","Entire home/apt","Apartment",4.70048036579242,16,1.38629436111989,1.92181205567281,0.693147180559945,1,1.79175946922805,1,5.72031177660741,32.7219668215934,187.179852163318,93025,28372625,4.60517018598809,3
